City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,puerto armuelles,8.2833,-82.8667,299.31,88,100,2.24,PA,1686370984
142,anadyr,64.75,177.4833,285.43,43,0,7.0,RU,1686371042
143,retreat,38.8245,-85.8533,287.45,86,8,0.87,US,1686371042
144,bereznik,62.8551,42.7072,278.13,81,94,4.9,RU,1686371043
145,lorengau,-2.0226,147.2712,301.2,81,40,1.68,PG,1686371043
146,hamilton,39.1834,-84.5333,288.55,67,0,2.57,US,1686370831
147,bouna,9.2667,-3.0,295.67,94,78,1.63,CI,1686371044
148,andergrove,-21.0833,149.1833,298.51,71,0,6.52,AU,1686371044
149,luang namtha,20.9497,101.4011,301.16,78,100,3.09,LA,1686371044
150,tual,-5.6667,132.75,300.42,78,25,9.71,ID,1686371045
151,la ronge,55.1001,-105.2842,288.29,58,40,1.03,CA,1686370824
152,carbonear,47.7332,-53.2148,279.47,97,100,6.23,CA,1686371045
153,el abiodh sidi cheikh,32.893,0.5484,295.53,59,54,3.17,DZ,1686371045
154,yaring,6.8662,101.3689,304.72,59,46,3.88,TH,1686371046
155,weno,7.4515,151.8468,305.12,74,75,2.06,FM,1686371046
156,san blas,21.5167,-105.2667,296.99,83,76,1.66,MX,1686371046
157,mogadishu,2.0371,45.3438,300.08,89,75,5.14,SO,1686371046
158,palmer,42.1584,-72.3287,284.55,85,100,0.0,US,1686371046
159,mawlaik,23.6333,94.4167,309.0,41,60,1.95,MM,1686371047
160,saint-philippe,-21.3585,55.7679,296.92,81,39,5.6,RE,1686371047
161,quzhou,28.9594,118.8686,304.4,58,65,2.21,CN,1686371047
162,pangody,65.85,74.4859,281.81,40,2,0.62,RU,1686371047
163,verdal,63.7933,11.4817,285.17,59,63,0.08,NO,1686371047
164,quellon,-43.1167,-73.6167,280.29,87,75,4.12,CL,1686371048
165,kitui,-1.367,38.0106,289.58,90,87,1.69,KE,1686371048
166,tofol,5.3248,163.0078,299.31,90,93,7.64,FM,1686371048
167,jamaame,0.0697,42.745,298.61,75,100,3.56,SO,1686371048
168,la malbaie,47.6575,-70.1559,280.89,91,72,2.86,CA,1686370830
